feature;value;class;
forearmLeft;0.352795;p001;
upperarmLeft;0.252922;p001;
shoulderHalfLeft;0.174004;p001;
neck;0.0881613;p001;
shoulderHalfRight;0.198571;p001;
upperarmRight;0.262522;p001;
forearmRight;0.340685;p001;
shoulder;0.302031;p001;
upperBody;0.275406;p001;
hip;0.160941;p001;
lowerBody;0.384807;p001;
body;0.660196;p001;
lowerLegLeft;0.47456;p001;
upperLegLeft;0.444567;p001;
upperLegRight;0.445828;p001;
lowerLegRight;0.474065;p001;
forearmLeft;0.351594;p001;
upperarmLeft;0.253286;p001;
shoulderHalfLeft;0.17358;p001;
neck;0.0881485;p001;
shoulderHalfRight;0.198659;p001;
upperarmRight;0.262732;p001;
forearmRight;0.340024;p001;
shoulder;0.301694;p001;
upperBody;0.275377;p001;
hip;0.160873;p001;
lowerBody;0.384765;p001;
body;0.660124;p001;
lowerLegLeft;0.475104;p001;
upperLegLeft;0.444808;p001;
upperLegRight;0.446254;p001;
lowerLegRight;0.472429;p001;
forearmLeft;0.352255;p001;
upperarmLeft;0.253726;p001;
shoulderHalfLeft;0.173942;p001;
neck;0.088299;p001;
shoulderHalfRight;0.198654;p001;
upperarmRight;0.262668;p001;
forearmRight;0.341938;p001;
shoulder;0.301446;p001;
upperBody;0.275693;p001;
hip;0.160902;p001;
lowerBody;0.384975;p001;
body;0.660652;p001;
lowerLegLeft;0.475148;p001;
upperLegLeft;0.444626;p001;
upperLegRight;0.446359;p001;
lowerLegRight;0.472378;p001;
forearmLeft;0.352976;p001;
upperarmLeft;0.254061;p001;
shoulderHalfLeft;0.173685;p001;
neck;0.0883025;p001;
shoulderHalfRight;0.198733;p001;
upperarmRight;0.262884;p001;
forearmRight;0.342371;p001;
shoulder;0.30118;p001;
upperBody;0.275699;p001;
hip;0.160939;p001;
lowerBody;0.385056;p001;
body;0.660739;p001;
lowerLegLeft;0.475576;p001;
upperLegLeft;0.444094;p001;
upperLegRight;0.446329;p001;
lowerLegRight;0.472153;p001;
forearmLeft;0.351503;p001;
upperarmLeft;0.254379;p001;
shoulderHalfLeft;0.173569;p001;
neck;0.0883054;p001;
shoulderHalfRight;0.198775;p001;
upperarmRight;0.263082;p001;
forearmRight;0.341617;p001;
shoulder;0.301019;p001;
upperBody;0.275705;p001;
hip;0.160965;p001;
lowerBody;0.385145;p001;
body;0.660835;p001;
lowerLegLeft;0.47511;p001;
upperLegLeft;0.444472;p001;
upperLegRight;0.446297;p001;
lowerLegRight;0.471974;p001;
forearmLeft;0.351101;p001;
upperarmLeft;0.254755;p001;
shoulderHalfLeft;0.17357;p001;
neck;0.088344;p001;
shoulderHalfRight;0.198919;p001;
upperarmRight;0.263058;p001;
forearmRight;0.341002;p001;
shoulder;0.300803;p001;
upperBody;0.275823;p001;
hip;0.16094;p001;
lowerBody;0.385247;p001;
body;0.661054;p001;
lowerLegLeft;0.474889;p001;
upperLegLeft;0.444555;p001;
upperLegRight;0.446189;p001;
lowerLegRight;0.471797;p001;
forearmLeft;0.348547;p001;
upperarmLeft;0.2553;p001;
shoulderHalfLeft;0.174181;p001;
neck;0.0884472;p001;
shoulderHalfRight;0.199351;p001;
upperarmRight;0.263179;p001;
forearmRight;0.34188;p001;
shoulder;0.300614;p001;
upperBody;0.27618;p001;
hip;0.16093;p001;
lowerBody;0.38563;p001;
body;0.661796;p001;
lowerLegLeft;0.47457;p001;
upperLegLeft;0.444701;p001;
upperLegRight;0.446403;p001;
lowerLegRight;0.471556;p001;
forearmLeft;0.35084;p001;
upperarmLeft;0.255447;p001;
shoulderHalfLeft;0.17401;p001;
neck;0.0884056;p001;
shoulderHalfRight;0.19936;p001;
upperarmRight;0.263282;p001;
forearmRight;0.341592;p001;
shoulder;0.300501;p001;
upperBody;0.276119;p001;
hip;0.160822;p001;
lowerBody;0.385638;p001;
body;0.661742;p001;
lowerLegLeft;0.474122;p001;
upperLegLeft;0.444512;p001;
upperLegRight;0.44641;p001;
lowerLegRight;0.470928;p001;
forearmLeft;0.349572;p001;
upperarmLeft;0.255634;p001;
shoulderHalfLeft;0.17384;p001;
neck;0.0883983;p001;
shoulderHalfRight;0.199407;p001;
upperarmRight;0.263258;p001;
forearmRight;0.341652;p001;
shoulder;0.300356;p001;
upperBody;0.276106;p001;
hip;0.160836;p001;
lowerBody;0.385643;p001;
body;0.661734;p001;
lowerLegLeft;0.473877;p001;
upperLegLeft;0.444661;p001;
upperLegRight;0.446457;p001;
lowerLegRight;0.470959;p001;
forearmLeft;0.350899;p001;
upperarmLeft;0.255724;p001;
shoulderHalfLeft;0.17375;p001;
neck;0.0883759;p001;
shoulderHalfRight;0.199465;p001;
upperarmRight;0.263239;p001;
forearmRight;0.340956;p001;
shoulder;0.300304;p001;
upperBody;0.276066;p001;
hip;0.160812;p001;
lowerBody;0.385638;p001;
body;0.661689;p001;
lowerLegLeft;0.473992;p001;
upperLegLeft;0.444753;p001;
upperLegRight;0.446715;p001;
lowerLegRight;0.47022;p001;
forearmLeft;0.34973;p001;
upperarmLeft;0.255685;p001;
shoulderHalfLeft;0.173976;p001;
neck;0.0883936;p001;
shoulderHalfRight;0.199455;p001;
upperarmRight;0.26342;p001;
forearmRight;0.340162;p001;
shoulder;0.300317;p001;
upperBody;0.27611;p001;
hip;0.160762;p001;
lowerBody;0.385702;p001;
body;0.661797;p001;
lowerLegLeft;0.474239;p001;
upperLegLeft;0.444649;p001;
upperLegRight;0.446812;p001;
lowerLegRight;0.470545;p001;
forearmLeft;0.348982;p001;
upperarmLeft;0.256127;p001;
shoulderHalfLeft;0.17362;p001;
neck;0.0883427;p001;
shoulderHalfRight;0.199505;p001;
upperarmRight;0.264153;p001;
forearmRight;0.340578;p001;
shoulder;0.299947;p001;
upperBody;0.276026;p001;
hip;0.160774;p001;
lowerBody;0.385779;p001;
body;0.661789;p001;
lowerLegLeft;0.473436;p001;
upperLegLeft;0.444833;p001;
upperLegRight;0.446318;p001;
lowerLegRight;0.47113;p001;
forearmLeft;0.350665;p001;
upperarmLeft;0.25613;p001;
shoulderHalfLeft;0.173614;p001;
neck;0.0883323;p001;
shoulderHalfRight;0.199496;p001;
upperarmRight;0.264076;p001;
forearmRight;0.339307;p001;
shoulder;0.299946;p001;
upperBody;0.276;p001;
hip;0.160766;p001;
lowerBody;0.385816;p001;
body;0.6618;p001;
lowerLegLeft;0.475737;p001;
upperLegLeft;0.444774;p001;
upperLegRight;0.446391;p001;
lowerLegRight;0.47017;p001;
forearmLeft;0.349431;p001;
upperarmLeft;0.256035;p001;
shoulderHalfLeft;0.173638;p001;
neck;0.0883203;p001;
shoulderHalfRight;0.199392;p001;
upperarmRight;0.264086;p001;
forearmRight;0.340219;p001;
shoulder;0.299945;p001;
upperBody;0.275969;p001;
hip;0.160807;p001;
lowerBody;0.385821;p001;
body;0.661773;p001;
lowerLegLeft;0.475988;p001;
upperLegLeft;0.444709;p001;
upperLegRight;0.446465;p001;
lowerLegRight;0.470719;p001;
forearmLeft;0.349237;p001;
upperarmLeft;0.255852;p001;
shoulderHalfLeft;0.173433;p001;
neck;0.0882415;p001;
shoulderHalfRight;0.199177;p001;
upperarmRight;0.263961;p001;
forearmRight;0.340202;p001;
shoulder;0.300064;p001;
upperBody;0.275775;p001;
hip;0.160855;p001;
lowerBody;0.385688;p001;
body;0.661446;p001;
lowerLegLeft;0.47431;p001;
upperLegLeft;0.444802;p001;
upperLegRight;0.446407;p001;
lowerLegRight;0.472073;p001;
forearmLeft;0.347621;p001;
upperarmLeft;0.255762;p001;
shoulderHalfLeft;0.173293;p001;
neck;0.0882002;p001;
shoulderHalfRight;0.198892;p001;
upperarmRight;0.263843;p001;
forearmRight;0.34059;p001;
shoulder;0.300039;p001;
upperBody;0.275631;p001;
hip;0.160945;p001;
lowerBody;0.385794;p001;
body;0.661406;p001;
lowerLegLeft;0.475011;p001;
upperLegLeft;0.444764;p001;
upperLegRight;0.446135;p001;
lowerLegRight;0.472254;p001;
forearmLeft;0.349322;p001;
upperarmLeft;0.255198;p001;
shoulderHalfLeft;0.173471;p001;
neck;0.0882072;p001;
shoulderHalfRight;0.199008;p001;
upperarmRight;0.264012;p001;
forearmRight;0.341325;p001;
shoulder;0.299983;p001;
upperBody;0.275635;p001;
hip;0.160954;p001;
lowerBody;0.385794;p001;
body;0.66141;p001;
lowerLegLeft;0.476016;p001;
upperLegLeft;0.4449;p001;
upperLegRight;0.445997;p001;
lowerLegRight;0.472235;p001;
forearmLeft;0.349692;p001;
upperarmLeft;0.255015;p001;
shoulderHalfLeft;0.173379;p001;
neck;0.088117;p001;
shoulderHalfRight;0.198748;p001;
upperarmRight;0.264042;p001;
forearmRight;0.340231;p001;
shoulder;0.30019;p001;
upperBody;0.275401;p001;
hip;0.160911;p001;
lowerBody;0.38559;p001;
body;0.660972;p001;
lowerLegLeft;0.476304;p001;
upperLegLeft;0.444811;p001;
upperLegRight;0.446152;p001;
lowerLegRight;0.47186;p001;
forearmLeft;0.345322;p001;
upperarmLeft;0.255341;p001;
shoulderHalfLeft;0.174314;p001;
neck;0.0882785;p001;
shoulderHalfRight;0.199686;p001;
upperarmRight;0.257862;p001;
forearmRight;0.347056;p001;
shoulder;0.301015;p001;
upperBody;0.275754;p001;
hip;0.160742;p001;
lowerBody;0.385852;p001;
body;0.661587;p001;
lowerLegLeft;0.476701;p001;
upperLegLeft;0.444838;p001;
upperLegRight;0.446385;p001;
lowerLegRight;0.470895;p001;
forearmLeft;0.342834;p001;
upperarmLeft;0.255226;p001;
shoulderHalfLeft;0.174254;p001;
neck;0.0882274;p001;
shoulderHalfRight;0.199916;p001;
upperarmRight;0.256918;p001;
forearmRight;0.348716;p001;
shoulder;0.301783;p001;
upperBody;0.275601;p001;
hip;0.16076;p001;
lowerBody;0.385708;p001;
body;0.661289;p001;
lowerLegLeft;0.476368;p001;
upperLegLeft;0.44527;p001;
upperLegRight;0.446413;p001;
lowerLegRight;0.47127;p001;
forearmLeft;0.342881;p001;
upperarmLeft;0.25519;p001;
shoulderHalfLeft;0.174403;p001;
neck;0.0882295;p001;
shoulderHalfRight;0.20001;p001;
upperarmRight;0.255709;p001;
forearmRight;0.349693;p001;
shoulder;0.301729;p001;
upperBody;0.275587;p001;
hip;0.160716;p001;
lowerBody;0.385706;p001;
body;0.661272;p001;
lowerLegLeft;0.475595;p001;
upperLegLeft;0.445747;p001;
upperLegRight;0.446067;p001;
lowerLegRight;0.471492;p001;
forearmLeft;0.342863;p001;
upperarmLeft;0.255117;p001;
shoulderHalfLeft;0.174546;p001;
neck;0.0882475;p001;
shoulderHalfRight;0.199876;p001;
upperarmRight;0.259201;p001;
forearmRight;0.345624;p001;
shoulder;0.301687;p001;
upperBody;0.275593;p001;
hip;0.160651;p001;
lowerBody;0.385721;p001;
body;0.661293;p001;
lowerLegLeft;0.475985;p001;
upperLegLeft;0.445729;p001;
upperLegRight;0.445896;p001;
lowerLegRight;0.47163;p001;
forearmLeft;0.345827;p001;
upperarmLeft;0.255163;p001;
shoulderHalfLeft;0.174563;p001;
neck;0.0882675;p001;
shoulderHalfRight;0.200002;p001;
upperarmRight;0.257788;p001;
forearmRight;0.346676;p001;
shoulder;0.301677;p001;
upperBody;0.275634;p001;
hip;0.160662;p001;
lowerBody;0.38574;p001;
body;0.661353;p001;
lowerLegLeft;0.476192;p001;
upperLegLeft;0.445722;p001;
upperLegRight;0.445976;p001;
lowerLegRight;0.470607;p001;
forearmLeft;0.343243;p001;
upperarmLeft;0.255572;p001;
shoulderHalfLeft;0.178895;p001;
neck;0.0885826;p001;
shoulderHalfRight;0.200507;p001;
upperarmRight;0.263755;p001;
forearmRight;0.335006;p001;
shoulder;0.302844;p001;
upperBody;0.276605;p001;
hip;0.161247;p001;
lowerBody;0.386628;p001;
body;0.663221;p001;
lowerLegLeft;0.473404;p001;
upperLegLeft;0.44298;p001;
upperLegRight;0.445071;p001;
lowerLegRight;0.46996;p001;
forearmLeft;0.34984;p001;
upperarmLeft;0.2553;p001;
shoulderHalfLeft;0.178118;p001;
neck;0.0883374;p001;
shoulderHalfRight;0.199822;p001;
upperarmRight;0.262835;p001;
forearmRight;0.335147;p001;
shoulder;0.302513;p001;
upperBody;0.276161;p001;
hip;0.161407;p001;
lowerBody;0.386548;p001;
body;0.662695;p001;
lowerLegLeft;0.474518;p001;
upperLegLeft;0.44274;p001;
upperLegRight;0.444431;p001;
lowerLegRight;0.470602;p001;
forearmLeft;0.338876;p001;
upperarmLeft;0.254882;p001;
shoulderHalfLeft;0.178193;p001;
neck;0.0883323;p001;
shoulderHalfRight;0.199838;p001;
upperarmRight;0.263471;p001;
forearmRight;0.334674;p001;
shoulder;0.302605;p001;
upperBody;0.276144;p001;
hip;0.161499;p001;
lowerBody;0.386494;p001;
body;0.662624;p001;
lowerLegLeft;0.475096;p001;
upperLegLeft;0.442429;p001;
upperLegRight;0.444413;p001;
lowerLegRight;0.470463;p001;
forearmLeft;0.345071;p001;
upperarmLeft;0.254739;p001;
shoulderHalfLeft;0.178156;p001;
neck;0.0883622;p001;
shoulderHalfRight;0.199883;p001;
upperarmRight;0.263624;p001;
forearmRight;0.334328;p001;
shoulder;0.302333;p001;
upperBody;0.276205;p001;
hip;0.161505;p001;
lowerBody;0.386579;p001;
body;0.66277;p001;
lowerLegLeft;0.475615;p001;
upperLegLeft;0.44237;p001;
upperLegRight;0.443979;p001;
lowerLegRight;0.47084;p001;
forearmLeft;0.347466;p001;
upperarmLeft;0.25428;p001;
shoulderHalfLeft;0.177926;p001;
neck;0.0884384;p001;
shoulderHalfRight;0.200055;p001;
