feature;value;class;
forearmLeft;0.319793;p004;
upperarmLeft;0.295868;p004;
shoulderHalfLeft;0.193774;p004;
neck;0.0880082;p004;
shoulderHalfRight;0.183372;p004;
upperarmRight;0.295197;p004;
forearmRight;0.322162;p004;
shoulder;0.281354;p004;
upperBody;0.269405;p004;
hip;0.158602;p004;
lowerBody;0.367407;p004;
body;0.636739;p004;
lowerLegLeft;0.483445;p004;
upperLegLeft;0.376991;p004;
upperLegRight;0.374872;p004;
lowerLegRight;0.480084;p004;
forearmLeft;0.323159;p004;
upperarmLeft;0.296045;p004;
shoulderHalfLeft;0.193874;p004;
neck;0.0879994;p004;
shoulderHalfRight;0.182779;p004;
upperarmRight;0.295139;p004;
forearmRight;0.332433;p004;
shoulder;0.283339;p004;
upperBody;0.26917;p004;
hip;0.159277;p004;
lowerBody;0.366532;p004;
body;0.635639;p004;
lowerLegLeft;0.48244;p004;
upperLegLeft;0.376409;p004;
upperLegRight;0.376248;p004;
lowerLegRight;0.479587;p004;
forearmLeft;0.318032;p004;
upperarmLeft;0.290282;p004;
shoulderHalfLeft;0.19426;p004;
neck;0.088035;p004;
shoulderHalfRight;0.18253;p004;
upperarmRight;0.295123;p004;
forearmRight;0.325752;p004;
shoulder;0.283233;p004;
upperBody;0.269227;p004;
hip;0.1597;p004;
lowerBody;0.366571;p004;
body;0.635734;p004;
lowerLegLeft;0.482739;p004;
upperLegLeft;0.376068;p004;
upperLegRight;0.376476;p004;
lowerLegRight;0.479394;p004;
forearmLeft;0.326194;p004;
upperarmLeft;0.28778;p004;
shoulderHalfLeft;0.194358;p004;
neck;0.0880234;p004;
shoulderHalfRight;0.182413;p004;
upperarmRight;0.29517;p004;
forearmRight;0.327072;p004;
shoulder;0.283754;p004;
upperBody;0.269171;p004;
hip;0.159539;p004;
lowerBody;0.366438;p004;
body;0.635547;p004;
lowerLegLeft;0.482041;p004;
upperLegLeft;0.376732;p004;
upperLegRight;0.376632;p004;
lowerLegRight;0.476633;p004;
forearmLeft;0.333912;p004;
upperarmLeft;0.294301;p004;
shoulderHalfLeft;0.194353;p004;
neck;0.0880204;p004;
shoulderHalfRight;0.182458;p004;
upperarmRight;0.295133;p004;
forearmRight;0.341056;p004;
shoulder;0.283897;p004;
upperBody;0.269152;p004;
hip;0.159531;p004;
lowerBody;0.366376;p004;
body;0.635466;p004;
lowerLegLeft;0.481605;p004;
upperLegLeft;0.377185;p004;
upperLegRight;0.376988;p004;
lowerLegRight;0.464605;p004;
forearmLeft;0.317657;p004;
upperarmLeft;0.296207;p004;
shoulderHalfLeft;0.195662;p004;
neck;0.088103;p004;
shoulderHalfRight;0.18229;p004;
upperarmRight;0.295158;p004;
forearmRight;0.323296;p004;
shoulder;0.283465;p004;
upperBody;0.269369;p004;
hip;0.159458;p004;
lowerBody;0.366519;p004;
body;0.635838;p004;
lowerLegLeft;0.482392;p004;
upperLegLeft;0.376339;p004;
upperLegRight;0.376966;p004;
lowerLegRight;0.469852;p004;
forearmLeft;0.335293;p004;
upperarmLeft;0.291504;p004;
shoulderHalfLeft;0.201238;p004;
neck;0.0877573;p004;
shoulderHalfRight;0.180427;p004;
upperarmRight;0.295201;p004;
forearmRight;0.321704;p004;
shoulder;0.288935;p004;
upperBody;0.26852;p004;
hip;0.159281;p004;
lowerBody;0.365803;p004;
body;0.634267;p004;
lowerLegLeft;0.483256;p004;
upperLegLeft;0.375353;p004;
upperLegRight;0.37765;p004;
lowerLegRight;0.471452;p004;
forearmLeft;0.321377;p004;
upperarmLeft;0.289267;p004;
shoulderHalfLeft;0.198583;p004;
neck;0.0877958;p004;
shoulderHalfRight;0.180295;p004;
upperarmRight;0.295208;p004;
forearmRight;0.320498;p004;
shoulder;0.286277;p004;
upperBody;0.268553;p004;
hip;0.159531;p004;
lowerBody;0.365796;p004;
body;0.634291;p004;
lowerLegLeft;0.482932;p004;
upperLegLeft;0.375494;p004;
upperLegRight;0.377877;p004;
lowerLegRight;0.471796;p004;
forearmLeft;0.314448;p004;
upperarmLeft;0.29577;p004;
shoulderHalfLeft;0.197737;p004;
neck;0.0879028;p004;
shoulderHalfRight;0.180559;p004;
upperarmRight;0.295167;p004;
forearmRight;0.32681;p004;
shoulder;0.285087;p004;
upperBody;0.268741;p004;
hip;0.159266;p004;
lowerBody;0.365901;p004;
body;0.634584;p004;
lowerLegLeft;0.482402;p004;
upperLegLeft;0.376081;p004;
upperLegRight;0.37799;p004;
lowerLegRight;0.476542;p004;
forearmLeft;0.314403;p004;
upperarmLeft;0.296056;p004;
shoulderHalfLeft;0.197393;p004;
neck;0.0878776;p004;
shoulderHalfRight;0.180174;p004;
upperarmRight;0.295115;p004;
forearmRight;0.324917;p004;
shoulder;0.284308;p004;
upperBody;0.26869;p004;
hip;0.1593;p004;
lowerBody;0.365866;p004;
body;0.634501;p004;
lowerLegLeft;0.480408;p004;
upperLegLeft;0.378276;p004;
upperLegRight;0.378136;p004;
lowerLegRight;0.477607;p004;
forearmLeft;0.327434;p004;
upperarmLeft;0.28864;p004;
shoulderHalfLeft;0.194986;p004;
neck;0.0880512;p004;
shoulderHalfRight;0.180794;p004;
upperarmRight;0.295133;p004;
forearmRight;0.320459;p004;
shoulder;0.282854;p004;
upperBody;0.269085;p004;
hip;0.159196;p004;
lowerBody;0.366064;p004;
body;0.635096;p004;
lowerLegLeft;0.479724;p004;
upperLegLeft;0.379155;p004;
upperLegRight;0.37854;p004;
lowerLegRight;0.4776;p004;
forearmLeft;0.327926;p004;
upperarmLeft;0.289795;p004;
shoulderHalfLeft;0.195366;p004;
neck;0.0881634;p004;
shoulderHalfRight;0.181598;p004;
upperarmRight;0.29517;p004;
forearmRight;0.321896;p004;
shoulder;0.283733;p004;
upperBody;0.269348;p004;
hip;0.159329;p004;
lowerBody;0.366252;p004;
body;0.635547;p004;
lowerLegLeft;0.480068;p004;
upperLegLeft;0.377345;p004;
upperLegRight;0.378674;p004;
lowerLegRight;0.47802;p004;
forearmLeft;0.324681;p004;
upperarmLeft;0.292617;p004;
shoulderHalfLeft;0.195153;p004;
neck;0.0881687;p004;
shoulderHalfRight;0.180629;p004;
upperarmRight;0.295128;p004;
forearmRight;0.307641;p004;
shoulder;0.282627;p004;
upperBody;0.269366;p004;
