feature;value;class;
forearmLeft;0.373378;p005;
upperarmLeft;0.272746;p005;
shoulderHalfLeft;0.15588;p005;
neck;0.0818847;p005;
shoulderHalfRight;0.229204;p005;
upperarmRight;0.265089;p005;
forearmRight;0.378428;p005;
shoulder;0.331591;p005;
upperBody;0.253673;p005;
hip;0.155688;p005;
lowerBody;0.35327;p005;
body;0.606903;p005;
lowerLegLeft;0.372129;p005;
upperLegLeft;0.445887;p005;
upperLegRight;0.534788;p005;
lowerLegRight;0.303083;p005;
forearmLeft;0.373889;p005;
upperarmLeft;0.272777;p005;
shoulderHalfLeft;0.15598;p005;
neck;0.081813;p005;
shoulderHalfRight;0.229269;p005;
upperarmRight;0.265175;p005;
forearmRight;0.379052;p005;
shoulder;0.331719;p005;
upperBody;0.253412;p005;
hip;0.156007;p005;
lowerBody;0.353123;p005;
body;0.606495;p005;
lowerLegLeft;0.372046;p005;
upperLegLeft;0.445912;p005;
upperLegRight;0.535342;p005;
lowerLegRight;0.303215;p005;
forearmLeft;0.373469;p005;
upperarmLeft;0.272746;p005;
shoulderHalfLeft;0.156105;p005;
neck;0.0817694;p005;
shoulderHalfRight;0.229281;p005;
upperarmRight;0.265145;p005;
forearmRight;0.378398;p005;
shoulder;0.331854;p005;
upperBody;0.253214;p005;
hip;0.160933;p005;
lowerBody;0.353058;p005;
body;0.606233;p005;
lowerLegLeft;0.372752;p005;
upperLegLeft;0.44591;p005;
upperLegRight;0.53594;p005;
lowerLegRight;0.30335;p005;
forearmLeft;0.373709;p005;
upperarmLeft;0.272435;p005;
shoulderHalfLeft;0.156203;p005;
neck;0.0817989;p005;
shoulderHalfRight;0.229209;p005;
upperarmRight;0.265156;p005;
forearmRight;0.377863;p005;
shoulder;0.331929;p005;
upperBody;0.25398;p005;
hip;0.155231;p005;
lowerBody;0.357097;p005;
body;0.611047;p005;
lowerLegLeft;0.372365;p005;
upperLegLeft;0.446024;p005;
upperLegRight;0.511774;p005;
lowerLegRight;0.302291;p005;
forearmLeft;0.37422;p005;
upperarmLeft;0.272353;p005;
shoulderHalfLeft;0.156082;p005;
neck;0.0818682;p005;
shoulderHalfRight;0.229226;p005;
upperarmRight;0.265069;p005;
forearmRight;0.377914;p005;
shoulder;0.331931;p005;
upperBody;0.255006;p005;
hip;0.155145;p005;
lowerBody;0.360132;p005;
body;0.615112;p005;
lowerLegLeft;0.37237;p005;
upperLegLeft;0.445942;p005;
upperLegRight;0.505222;p005;
lowerLegRight;0.314076;p005;
forearmLeft;0.374527;p005;
upperarmLeft;0.272433;p005;
shoulderHalfLeft;0.156036;p005;
neck;0.0819441;p005;
shoulderHalfRight;0.229293;p005;
upperarmRight;0.265002;p005;
forearmRight;0.379105;p005;
shoulder;0.332037;p005;
upperBody;0.255974;p005;
hip;0.15475;p005;
lowerBody;0.362155;p005;
body;0.618104;p005;
lowerLegLeft;0.372314;p005;
upperLegLeft;0.445783;p005;
upperLegRight;0.501437;p005;
lowerLegRight;0.300359;p005;
forearmLeft;0.37318;p005;
upperarmLeft;0.272296;p005;
shoulderHalfLeft;0.156063;p005;
neck;0.0819943;p005;
shoulderHalfRight;0.229344;p005;
upperarmRight;0.265015;p005;
forearmRight;0.378431;p005;
shoulder;0.332201;p005;
upperBody;0.256464;p005;
hip;0.154828;p005;
lowerBody;0.362763;p005;
body;0.619203;p005;
lowerLegLeft;0.370525;p005;
upperLegLeft;0.447533;p005;
upperLegRight;0.500073;p005;
lowerLegRight;0.300638;p005;
forearmLeft;0.373636;p005;
upperarmLeft;0.27232;p005;
shoulderHalfLeft;0.156101;p005;
neck;0.0819168;p005;
shoulderHalfRight;0.22933;p005;
upperarmRight;0.26501;p005;
forearmRight;0.378638;p005;
shoulder;0.332201;p005;
upperBody;0.255957;p005;
hip;0.155647;p005;
lowerBody;0.359283;p005;
body;0.61521;p005;
lowerLegLeft;0.37091;p005;
upperLegLeft;0.446793;p005;
upperLegRight;0.526435;p005;
lowerLegRight;0.301004;p005;
forearmLeft;0.373578;p005;
