feature;value;class;
forearmLeft;0.288397;p011;
upperarmLeft;0.295447;p011;
shoulderHalfLeft;0.167896;p011;
neck;0.0821086;p011;
shoulderHalfRight;0.174937;p011;
upperarmRight;0.271772;p011;
forearmRight;0.296713;p011;
shoulder;0.295032;p011;
upperBody;0.256832;p011;
hip;0.12043;p011;
lowerBody;0.359598;p011;
body;0.616366;p011;
lowerLegLeft;0.424461;p011;
upperLegLeft;0.341941;p011;
upperLegRight;0.372726;p011;
lowerLegRight;0.422146;p011;
forearmLeft;0.288424;p011;
upperarmLeft;0.29539;p011;
shoulderHalfLeft;0.16944;p011;
neck;0.0819863;p011;
shoulderHalfRight;0.17537;p011;
upperarmRight;0.270927;p011;
forearmRight;0.297051;p011;
shoulder;0.297692;p011;
upperBody;0.256502;p011;
hip;0.120302;p011;
lowerBody;0.359371;p011;
body;0.615808;p011;
lowerLegLeft;0.424015;p011;
upperLegLeft;0.342094;p011;
upperLegRight;0.37269;p011;
lowerLegRight;0.420256;p011;
forearmLeft;0.287965;p011;
upperarmLeft;0.295719;p011;
shoulderHalfLeft;0.169999;p011;
neck;0.0819997;p011;
shoulderHalfRight;0.175984;p011;
upperarmRight;0.270374;p011;
forearmRight;0.296993;p011;
shoulder;0.299049;p011;
upperBody;0.256518;p011;
hip;0.120357;p011;
lowerBody;0.359334;p011;
body;0.615788;p011;
lowerLegLeft;0.423825;p011;
upperLegLeft;0.342225;p011;
upperLegRight;0.371592;p011;
lowerLegRight;0.421822;p011;
forearmLeft;0.288364;p011;
upperarmLeft;0.295447;p011;
shoulderHalfLeft;0.170803;p011;
neck;0.0820598;p011;
shoulderHalfRight;0.176096;p011;
upperarmRight;0.270176;p011;
forearmRight;0.367533;p011;
shoulder;0.299931;p011;
upperBody;0.25666;p011;
hip;0.12041;p011;
lowerBody;0.359419;p011;
body;0.616013;p011;
lowerLegLeft;0.423564;p011;
upperLegLeft;0.342455;p011;
upperLegRight;0.371549;p011;
lowerLegRight;0.421507;p011;
forearmLeft;0.288346;p011;
upperarmLeft;0.29511;p011;
shoulderHalfLeft;0.171044;p011;
neck;0.0820881;p011;
shoulderHalfRight;0.176264;p011;
upperarmRight;0.27031;p011;
forearmRight;0.294058;p011;
shoulder;0.300444;p011;
upperBody;0.256735;p011;
hip;0.120444;p011;
lowerBody;0.359478;p011;
body;0.616149;p011;
lowerLegLeft;0.423208;p011;
upperLegLeft;0.342772;p011;
upperLegRight;0.371815;p011;
lowerLegRight;0.421432;p011;
forearmLeft;0.287784;p011;
upperarmLeft;0.295452;p011;
shoulderHalfLeft;0.171429;p011;
neck;0.08207;p011;
shoulderHalfRight;0.176403;p011;
upperarmRight;0.270402;p011;
forearmRight;0.373618;p011;
shoulder;0.30085;p011;
upperBody;0.256681;p011;
hip;0.120331;p011;
lowerBody;0.359452;p011;
body;0.61607;p011;
lowerLegLeft;0.422605;p011;
upperLegLeft;0.343413;p011;
upperLegRight;0.372037;p011;
lowerLegRight;0.421703;p011;
forearmLeft;0.290205;p011;
upperarmLeft;0.295752;p011;
shoulderHalfLeft;0.171612;p011;
neck;0.0821119;p011;
shoulderHalfRight;0.176639;p011;
upperarmRight;0.270795;p011;
forearmRight;0.372283;p011;
shoulder;0.301162;p011;
upperBody;0.256798;p011;
hip;0.120429;p011;
lowerBody;0.359568;p011;
body;0.616303;p011;
lowerLegLeft;0.422536;p011;
upperLegLeft;0.343345;p011;
upperLegRight;0.371825;p011;
lowerLegRight;0.421958;p011;
forearmLeft;0.290143;p011;
upperarmLeft;0.295983;p011;
shoulderHalfLeft;0.171472;p011;
neck;0.0821102;p011;
shoulderHalfRight;0.176801;p011;
upperarmRight;0.271076;p011;
forearmRight;0.290807;p011;
shoulder;0.301401;p011;
upperBody;0.256786;p011;
hip;0.120543;p011;
lowerBody;0.359533;p011;
body;0.616256;p011;
lowerLegLeft;0.422376;p011;
upperLegLeft;0.343498;p011;
upperLegRight;0.371783;p011;
lowerLegRight;0.420671;p011;
forearmLeft;0.290306;p011;
upperarmLeft;0.29558;p011;
shoulderHalfLeft;0.17143;p011;
neck;0.0821158;p011;
shoulderHalfRight;0.176819;p011;
upperarmRight;0.271476;p011;
forearmRight;0.367636;p011;
shoulder;0.301442;p011;
upperBody;0.256813;p011;
hip;0.120649;p011;
lowerBody;0.359596;p011;
body;0.616346;p011;
lowerLegLeft;0.421948;p011;
upperLegLeft;0.343409;p011;
upperLegRight;0.371584;p011;
lowerLegRight;0.419936;p011;
forearmLeft;0.291834;p011;
upperarmLeft;0.295102;p011;
shoulderHalfLeft;0.171503;p011;
neck;0.0821026;p011;
shoulderHalfRight;0.176872;p011;
upperarmRight;0.27134;p011;
forearmRight;0.292261;p011;
shoulder;0.301559;p011;
upperBody;0.256767;p011;
hip;0.120688;p011;
lowerBody;0.359542;p011;
