feature;value;class;
forearmLeft;0.338757;p011;
upperarmLeft;0.258644;p011;
shoulderHalfLeft;0.175169;p011;
neck;0.0774157;p011;
shoulderHalfRight;0.153592;p011;
upperarmRight;0.274281;p011;
forearmRight;0.314904;p011;
shoulder;0.30471;p011;
upperBody;0.236798;p011;
hip;0.121046;p011;
lowerBody;0.322992;p011;
body;0.559711;p011;
lowerLegLeft;0.489631;p011;
upperLegLeft;0.332832;p011;
upperLegRight;0.339961;p011;
lowerLegRight;0.486667;p011;
forearmLeft;0.336113;p011;
upperarmLeft;0.25908;p011;
shoulderHalfLeft;0.175747;p011;
neck;0.0774716;p011;
shoulderHalfRight;0.155785;p011;
upperarmRight;0.274592;p011;
forearmRight;0.334725;p011;
shoulder;0.309369;p011;
upperBody;0.236908;p011;
hip;0.120979;p011;
lowerBody;0.323026;p011;
body;0.559856;p011;
lowerLegLeft;0.484437;p011;
upperLegLeft;0.336731;p011;
upperLegRight;0.342642;p011;
lowerLegRight;0.484545;p011;
forearmLeft;0.33919;p011;
upperarmLeft;0.259458;p011;
shoulderHalfLeft;0.175749;p011;
neck;0.0774567;p011;
shoulderHalfRight;0.156567;p011;
upperarmRight;0.27623;p011;
forearmRight;0.356368;p011;
shoulder;0.311669;p011;
upperBody;0.236873;p011;
hip;0.120868;p011;
lowerBody;0.322928;p011;
body;0.559724;p011;
lowerLegLeft;0.485569;p011;
upperLegLeft;0.336845;p011;
upperLegRight;0.338403;p011;
lowerLegRight;0.489088;p011;
forearmLeft;0.338873;p011;
upperarmLeft;0.265445;p011;
shoulderHalfLeft;0.175107;p011;
neck;0.0773246;p011;
shoulderHalfRight;0.155886;p011;
upperarmRight;0.272952;p011;
forearmRight;0.357082;p011;
shoulder;0.308823;p011;
upperBody;0.236552;p011;
hip;0.120844;p011;
lowerBody;0.322515;p011;
body;0.55899;p011;
lowerLegLeft;0.466184;p011;
upperLegLeft;0.342659;p011;
upperLegRight;0.339039;p011;
lowerLegRight;0.488544;p011;
forearmLeft;0.340955;p011;
upperarmLeft;0.255747;p011;
shoulderHalfLeft;0.174582;p011;
neck;0.0772499;p011;
shoulderHalfRight;0.156148;p011;
upperarmRight;0.282444;p011;
forearmRight;0.353719;p011;
shoulder;0.312892;p011;
upperBody;0.236401;p011;
hip;0.120975;p011;
lowerBody;0.321993;p011;
body;0.558316;p011;
lowerLegLeft;0.466062;p011;
upperLegLeft;0.343531;p011;
upperLegRight;0.339496;p011;
lowerLegRight;0.488079;p011;
forearmLeft;0.33965;p011;
upperarmLeft;0.256514;p011;
shoulderHalfLeft;0.174679;p011;
neck;0.0772212;p011;
shoulderHalfRight;0.156199;p011;
upperarmRight;0.281863;p011;
forearmRight;0.3595;p011;
shoulder;0.313031;p011;
upperBody;0.236357;p011;
hip;0.121037;p011;
lowerBody;0.321797;p011;
body;0.558074;p011;
lowerLegLeft;0.466708;p011;
upperLegLeft;0.343107;p011;
upperLegRight;0.335743;p011;
lowerLegRight;0.491994;p011;
forearmLeft;0.329115;p011;
upperarmLeft;0.258379;p011;
shoulderHalfLeft;0.174732;p011;
neck;0.0772131;p011;
shoulderHalfRight;0.156107;p011;
upperarmRight;0.283001;p011;
forearmRight;0.366919;p011;
shoulder;0.3134;p011;
upperBody;0.236337;p011;
hip;0.12097;p011;
lowerBody;0.321713;p011;
body;0.557971;p011;
lowerLegLeft;0.466197;p011;
upperLegLeft;0.344111;p011;
upperLegRight;0.336156;p011;
lowerLegRight;0.491748;p011;
forearmLeft;0.321704;p011;
upperarmLeft;0.258938;p011;
shoulderHalfLeft;0.174853;p011;
neck;0.0772229;p011;
shoulderHalfRight;0.15551;p011;
upperarmRight;0.280043;p011;
forearmRight;0.365201;p011;
shoulder;0.31112;p011;
upperBody;0.236385;p011;
hip;0.121261;p011;
lowerBody;0.321778;p011;
body;0.558086;p011;
lowerLegLeft;0.472191;p011;
upperLegLeft;0.342009;p011;
upperLegRight;0.336793;p011;
lowerLegRight;0.490544;p011;
forearmLeft;0.343095;p011;
upperarmLeft;0.259983;p011;
shoulderHalfLeft;0.175407;p011;
neck;0.0772176;p011;
shoulderHalfRight;0.156362;p011;
upperarmRight;0.279379;p011;
forearmRight;0.366894;p011;
shoulder;0.312576;p011;
upperBody;0.236352;p011;
hip;0.121108;p011;
lowerBody;0.321735;p011;
body;0.558009;p011;
lowerLegLeft;0.473385;p011;
upperLegLeft;0.342682;p011;
upperLegRight;0.335092;p011;
lowerLegRight;0.491915;p011;
forearmLeft;0.343022;p011;
upperarmLeft;0.259986;p011;
shoulderHalfLeft;0.175508;p011;
neck;0.0771726;p011;
shoulderHalfRight;0.156657;p011;
upperarmRight;0.281975;p011;
forearmRight;0.325047;p011;
shoulder;0.313274;p011;
upperBody;0.236185;p011;
hip;0.121334;p011;
lowerBody;0.32142;p011;
body;0.557529;p011;
lowerLegLeft;0.474942;p011;
upperLegLeft;0.340191;p011;
upperLegRight;0.335537;p011;
lowerLegRight;0.492454;p011;
forearmLeft;0.341352;p011;
upperarmLeft;0.260052;p011;
shoulderHalfLeft;0.176199;p011;
neck;0.0771865;p011;
shoulderHalfRight;0.156522;p011;
upperarmRight;0.246733;p011;
forearmRight;0.320381;p011;
shoulder;0.314237;p011;
upperBody;0.236216;p011;
hip;0.121218;p011;
lowerBody;0.321472;p011;
body;0.557611;p011;
lowerLegLeft;0.472777;p011;
upperLegLeft;0.342737;p011;
upperLegRight;0.337913;p011;
lowerLegRight;0.489944;p011;
forearmLeft;0.340615;p011;
upperarmLeft;0.260064;p011;
shoulderHalfLeft;0.176162;p011;
neck;0.0771831;p011;
shoulderHalfRight;0.156604;p011;
upperarmRight;0.268576;p011;
forearmRight;0.325313;p011;
shoulder;0.3143;p011;
upperBody;0.236203;p011;
hip;0.1211;p011;
lowerBody;0.32149;p011;
body;0.557617;p011;
lowerLegLeft;0.472626;p011;
upperLegLeft;0.341766;p011;
upperLegRight;0.339444;p011;
lowerLegRight;0.488827;p011;
forearmLeft;0.35004;p011;
upperarmLeft;0.260437;p011;
shoulderHalfLeft;0.176188;p011;
neck;0.0771889;p011;
shoulderHalfRight;0.15647;p011;
upperarmRight;0.26877;p011;
forearmRight;0.376355;p011;
shoulder;0.314286;p011;
upperBody;0.236207;p011;
hip;0.120995;p011;
lowerBody;0.321498;p011;
body;0.55763;p011;
lowerLegLeft;0.472503;p011;
upperLegLeft;0.340587;p011;
upperLegRight;0.337749;p011;
lowerLegRight;0.490481;p011;
forearmLeft;0.323815;p011;
upperarmLeft;0.260082;p011;
shoulderHalfLeft;0.176324;p011;
neck;0.077193;p011;
shoulderHalfRight;0.155386;p011;
upperarmRight;0.271504;p011;
forearmRight;0.373629;p011;
shoulder;0.311312;p011;
upperBody;0.236266;p011;
hip;0.121157;p011;
lowerBody;0.321674;p011;
body;0.557864;p011;
lowerLegLeft;0.477874;p011;
upperLegLeft;0.339032;p011;
upperLegRight;0.338927;p011;
lowerLegRight;0.488846;p011;
forearmLeft;0.337407;p011;
upperarmLeft;0.259547;p011;
shoulderHalfLeft;0.176859;p011;
neck;0.0773341;p011;
shoulderHalfRight;0.154761;p011;
upperarmRight;0.255336;p011;
forearmRight;0.37782;p011;
shoulder;0.309348;p011;
upperBody;0.236555;p011;
hip;0.121015;p011;
lowerBody;0.321775;p011;
body;0.558259;p011;
lowerLegLeft;0.480105;p011;
upperLegLeft;0.34295;p011;
upperLegRight;0.336652;p011;
lowerLegRight;0.490797;p011;
forearmLeft;0.326153;p011;
upperarmLeft;0.260105;p011;
shoulderHalfLeft;0.17772;p011;
neck;0.0773967;p011;
shoulderHalfRight;0.154965;p011;
upperarmRight;0.248174;p011;
forearmRight;0.389885;p011;
shoulder;0.310885;p011;
upperBody;0.236765;p011;
hip;0.120909;p011;
lowerBody;0.32194;p011;
body;0.558644;p011;
lowerLegLeft;0.483925;p011;
upperLegLeft;0.339531;p011;
upperLegRight;0.337095;p011;
lowerLegRight;0.490708;p011;
forearmLeft;0.341845;p011;
upperarmLeft;0.261251;p011;
shoulderHalfLeft;0.179154;p011;
neck;0.077605;p011;
shoulderHalfRight;0.153783;p011;
upperarmRight;0.271549;p011;
forearmRight;0.367894;p011;
shoulder;0.309975;p011;
upperBody;0.237187;p011;
hip;0.120899;p011;
lowerBody;0.322158;p011;
body;0.559278;p011;
lowerLegLeft;0.484393;p011;
upperLegLeft;0.338521;p011;
upperLegRight;0.330531;p011;
lowerLegRight;0.496521;p011;
forearmLeft;0.33652;p011;
upperarmLeft;0.263855;p011;
shoulderHalfLeft;0.179449;p011;
neck;0.0774233;p011;
shoulderHalfRight;0.153862;p011;
upperarmRight;0.272573;p011;
forearmRight;0.372713;p011;
shoulder;0.310765;p011;
upperBody;0.236856;p011;
hip;0.120726;p011;
lowerBody;0.322097;p011;
body;0.558889;p011;
lowerLegLeft;0.485795;p011;
upperLegLeft;0.337192;p011;
upperLegRight;0.341496;p011;
lowerLegRight;0.487637;p011;
forearmLeft;0.344238;p011;
upperarmLeft;0.262585;p011;
shoulderHalfLeft;0.179384;p011;
neck;0.0774511;p011;
shoulderHalfRight;0.154107;p011;
upperarmRight;0.275444;p011;
forearmRight;0.364991;p011;
shoulder;0.313182;p011;
upperBody;0.236948;p011;
hip;0.120642;p011;
